time,verified,comments,retweets,likes,followers
420,0,3,38,88,2762
180,0,3,74,152,2772
960,0,9,81,262,2794
1440,0,2,93,307,2799
720,0,20,8000,27000,2846
4320,0,12,336,2000,2872
1440,0,7,356,405,2893
240,0,20,134,210,2911
120,0,13,88,117,2912
60,0,2,15,100,2913
2880,0,156,3000,12000,2916
180,0,2,249,462,2964
240,1,7,24,77,2966
1320,0,1,39,69,2990
180,0,3,84,425,2995
4320,0,2,16,59,3158
240,0,3,66,441,3161
1440,0,12,490,1000,3357
1440,0,12,498,1000,3357
1440,0,20,201,2000,3434
360,0,3,66,235,3441
180,0,4,594,406,3483
240,0,2,166,757,3680
7200,0,13,191,4000,3714
13,0,19,183,804,3728
1440,0,1,57,80,3739
1080,0,16,232,166,3891
2880,0,425,819,825,3895
2880,0,425,819,825,3896
4320,0,2,303,275,3985
1260,0,33,4000,12000,4050
660,0,7,367,2000,4093
1080,0,7,178,404,4115
10080,0,1,80,243,4123
1320,0,2,126,50,4337
2880,0,3,97,396,4345
8640,1,317,3000,7000,4374
240,0,7,200,607,4402
300,0,7,722,810,4404
2880,0,10,468,2000,4419
2,1,0,0,0,4449
2880,0,1,7,460,4471
5760,0,3,120,339,4625
4320,0,3,120,338,4631
2880,0,17,1000,3000,4634
5,1,6,33,136,4638
120,1,7,120,488,4638
900,0,4,315,1000,4847
900,0,4,317,1000,4847
10080,0,1,52,230,4910
1440,0,3,136,319,4965
60,0,4,16,45,5011
1440,0,524,2000,2000,5127
540,0,31,1000,4000,5191
600,0,32,1000,5000,5194
2880,0,474,36000,163000,5196
1200,0,640,67000,246000,5236
1260,0,645,68000,250000,5238
1260,0,646,68000,250000,5238
1440,0,1,23,12,5320
2880,0,44,318,566,5461
180,0,1,161,278,5495
120,0,42,349,2000,5563
4320,0,18,303,1000,5577
2880,0,10,931,3000,5612
780,1,8,94,112,5615
180,0,2,87,443,5681
1320,0,2,33,78,5836
57,0,11,150,603,6055
60,0,125,14,117,6137
4320,1,47,1000,5000,6148
9,0,1,10,46,6155
47,0,1,189,213,6206
56,0,3,189,465,6251
420,0,3,247,882,6279
2880,0,17,26,397,6304
60,0,1,182,267,6344
120,0,10,197,334,6413
32,0,5,21,14,6572
120,0,252,200,573,6630
1440,0,7,62,281,6722
600,0,9,321,553,6950
35,0,1,18,18,6997
2880,1,104,2000,2000,7001
1440,0,58,392,391,7042
180,1,4,74,256,7145
1080,0,39,7000,8000,7164
300,1,21,574,618,7219
540,0,131,1000,4000,7226
1440,1,6,107,366,7427
120,0,1,271,474,7530
1380,0,124,3000,14000,7613
540,0,6,58,171,7680
3,0,0,0,0,7697
720,0,88,344,3000,7778
360,1,162,102,322,7783
2,0,3,10,43,7899
13,0,3,44,132,7949
1440,0,6,41,99,7959
360,0,59,954,2000,7985
840,0,4,252,568,7999
4320,0,4,57,457,8004
60,1,9,78,351,8104
8640,0,5,103,534,8105
60,1,2,79,184,8159
60,1,1,16,64,8166
120,1,1,28,105,8167
780,0,26,4000,7000,8238
2880,0,51,6000,10000,8327
180,0,9,19,60,8339
4320,0,74,1000,4000,8381
4320,1,5,69,492,8383
60,0,158,1000,2000,8430
2880,1,61,355,4000,8548
2880,0,1,30,184,8576
120,0,7,26,128,8767
240,0,4,93,297,8864
240,0,4,93,304,8864
780,0,6,712,2000,8934
5760,0,16,2000,2000,8935
2880,0,93,370,3000,8983
120,1,5,92,35,8984
7200,0,250,2000,8000,9007
1,1,0,0,0,9025
1260,1,33,475,768,9110
60,0,2,17,54,9164
240,1,6,57,257,9209
360,0,1,461,781,9225
120,0,9,68,122,9313
120,0,9,72,133,9315
4320,0,1,49,287,9318
2,1,0,0,0,9509
1440,0,214,2000,4000,9605
1020,0,9,249,644,9696
540,0,734,22000,16000,9751
240,0,10,334,164,9838
780,0,56,2000,707,9907
19,0,10,77,268,10000
540,0,74,113,213,10000
180,1,48,146,1000,10000
2,0,0,0,0,11000
12,0,3,0,0,11000
360,0,46,570,725,11000
1140,0,1,63,90,11000
2880,0,4,474,2000,11000
4320,0,3,551,2000,11000
4320,0,3,552,2000,11000
10080,0,3,57,347,11000
2,1,1,2,11,11000
14,0,48,46,80,12000
240,0,1,837,736,12000
540,0,59,588,1000,12000
780,0,89,622,2000,12000
1320,0,348,669,4000,12000
1440,0,4,54,88,12000
2880,0,382,764,4000,12000
7200,0,4,70,574,12000
20,1,16,5,64,12000
120,1,18,13,117,12000
180,1,2,51,87,12000
1020,1,64,155,1000,12000
1,0,0,13,0,13000
27,0,20,28,127,13000
2880,0,26,591,2000,13000
10080,0,8,37,214,13000
11520,0,8,37,214,13000
60,1,32,101,223,13000
120,1,13,22,235,13000
300,1,131,2000,4000,13000
4,0,6,2,19,14000
60,0,7,512,455,14000
240,0,11,49,105,14000
240,0,11,49,106,14000
240,0,5,2000,5000,14000
900,0,23,1000,2000,14000
5760,0,11,598,3000,14000
1,1,1,0,0,14000
5,1,1,11,34,14000
43,1,1,54,179,14000
240,1,25,19,123,14000
240,1,27,117,594,14000
300,1,33,144,712,14000
600,1,5,70,208,14000
2880,1,25,107,574,14000
360,0,5,235,1000,15000
1440,0,3000,256,3000,15000
4320,0,11,141,521,15000
5760,0,11,139,520,15000
1,1,0,0,0,15000
3,1,4,37,107,15000
31,1,6,81,277,15000
180,1,2000,673,2000,15000
2880,1,34,84,157,15000
120,0,6,274,747,16000
240,0,80,394,2000,16000
240,0,90,439,3000,16000
300,0,72,354,1000,16000
300,0,2,620,2000,16000
480,0,4,79,321,16000
2880,0,93,237,621,16000
2880,0,94,240,623,16000
120,1,9,52,188,16000
180,1,8,195,744,16000
1440,1,5,115,670,16000
180,0,3,127,382,17000
420,1,39,652,638,17000
960,1,15,108,394,17000
58,0,0,0,0,18000
180,0,4,86,375,18000
