time,verified,comments,retweets,likes,followers
7200,1,195,383,5000,253000
2,1,70,86,504,254000
13,0,11,85,53,259000
720,1,74,239,3000,260000
18,1,6,93,200,262000
120,1,41,352,536,264000
4320,1,4,191,768,265000
5760,1,4,192,771,265000
19,1,43,106,528,266000
120,1,112,430,1000,266000
120,1,113,434,1000,266000
180,1,121,453,1000,266000
180,1,133,470,2000,266000
240,1,7,147,419,267000
180,1,33,899,601,268000
180,1,40,1000,722,268000
2880,1,653,15000,30000,268000
16,1,38,169,424,271000
21,1,46,555,1000,271000
38,1,64,869,2000,271000
120,1,115,2000,4000,271000
120,1,126,2000,5000,271000
6,1,25,16,92,272000
60,1,11,210,637,272000
60,1,13,230,727,272000
120,1,14,300,937,272000
240,1,32,398,2000,272000
1440,1,29,5000,9000,275000
120,1,40,17,127,277000
360,1,285,586,1000,278000
27,1,7,80,186,279000
120,1,62,355,1000,279000
960,1,173,3000,8000,279000
34,1,22,193,390,280000
60,1,49,41,723,280000
120,1,42,429,838,280000
600,1,10,37,115,280000
5,1,4,36,88,281000
6,1,7,30,85,282000
18,1,10,49,152,282000
180,1,74,163,724,286000
2,1,9,8,94,289000
2880,1,5,105,427,289000
180,1,21,214,382,290000
17,1,11,266,1000,292000
240,1,165,626,2000,292000
300,1,170,639,2000,292000
56,0,2,76,183,293000
60,1,16,665,3000,293000
3,1,8,18,112,295000
180,1,10,139,232,295000
8,1,6,34,78,297000
19,1,11,74,143,297000
180,1,7,194,399,297000
660,1,87,2000,5000,297000
15,1,23,76,443,299000
53,1,2,222,358,304000
4320,1,201,3000,13000,304000
60,1,0,0,0,306000
1200,1,54,128,2000,306000
5760,0,25,20,79,308000
2,1,3,32,101,311000
8,1,6,22,171,316000
29,1,518,524,2000,317000
60,1,12,123,585,317000
1260,1,1000,6000,15000,317000
1260,1,2000,6000,15000,317000
25,1,4,45,194,318000
1020,1,82,299,1000,319000
180,1,203,1000,8000,322000
26,0,36,1000,578,323000
60,1,690,723,3000,323000
39,1,66,436,2000,325000
56,1,199,827,3000,325000
60,1,121,105,511,325000
60,1,108,683,3000,325000
120,1,184,1000,5000,325000
180,1,235,2000,6000,325000
1440,1,20,42,1000,327000
14,1,6,72,138,328000
180,1,3,43,58,330000
120,1,52,117,343,332000
240,1,317,330,1000,332000
240,1,334,333,1000,332000
300,1,362,362,1000,332000
300,1,373,373,1000,332000
420,0,57,328,2000,334000
660,1,2,101,321,335000
2880,1,2,126,400,336000
2880,1,22,412,671,336000
6,1,46,73,142,337000
17,1,18,68,186,337000
3,1,0,0,0,338000
60,1,1,185,318,338000
60,1,1,222,410,338000
1320,1,63,332,1000,339000
9,1,2,65,186,341000
35,1,29,257,521,341000
44,1,12,249,2000,341000
2,1,1,8,56,344000
15,1,16,83,125,344000
360,1,73,945,2000,345000
120,1,15,9,112,354000
120,1,301,986,2000,354000
180,1,18,9,133,354000
35,0,92,1000,5000,357000
60,1,4,44,87,358000
2880,1,5,218,860,361000
60,1,64,204,3000,362000
2880,1,27,397,2000,362000
10,1,195,205,83,364000
18,1,268,279,110,364000
22,1,17,86,600,365000
2880,1,101,3000,5000,366000
120,1,588,3000,11000,373000
300,1,130,286,3000,379000
180,1,123,3000,7000,380000
60,1,47,193,795,381000
4320,1,131,2000,28000,381000
120,1,68,519,848,382000
180,1,179,547,1000,384000
840,1,337,352,1000,384000
2880,1,121,680,741,384000
2,1,12,88,161,385000
16,1,34,306,675,385000
420,1,18,195,417,385000
32,1,0,0,0,388000
56,1,112,202,976,388000
60,1,123,222,1000,388000
120,1,115,598,2000,388000
180,1,38,768,3000,388000
780,1,94,3000,7000,388000
180,1,51,1000,4000,390000
4,1,52,84,289,399000
29,1,62,675,2000,399000
60,1,114,1000,4000,399000
60,1,117,1000,4000,399000
120,1,97,2000,5000,399000
4320,1,24,566,2000,399000
9,1,31,182,647,400000
10,1,42,484,2000,402000
60,1,22,174,429,404000
5,1,3,54,86,405000
60,1,135,416,881,405000
120,1,26,347,647,405000
6,0,21,124,289,408000
47,0,26,51,55,408000
180,0,537,6000,10000,410000
1200,0,85,8000,57000,410000
120,0,38,397,1000,416000
39,1,1,45,133,418000
40,1,3,41,111,418000
180,1,37,306,724,418000
240,1,19,349,665,420000
240,1,121,586,5000,432000
36,1,151,97,216,433000
120,1,200,214,413,433000
43,1,13,656,4000,435000
2880,0,4,1000,3000,438000
420,1,3,25,60,439000
720,1,48,262,4000,446000
11520,1,322,6000,44000,446000
1,1,1,32,48,449000
120,1,45,239,2000,449000
60,1,23,139,233,452000
26,1,105,854,2000,453000
540,1,14,187,943,456000
33,1,42,63,862,458000
60,1,20,228,2000,463000
2880,1,96,531,4000,463000
44,1,41,1000,6000,464000
60,1,222,472,991,467000
120,1,62,212,574,467000
480,0,58,2000,4000,476000
660,1,13,745,2000,477000
1140,1,41,540,3000,477000
24,1,30,178,1000,478000
7,0,148,85,788,479000
17,1,44,141,720,479000
300,1,66,1000,2000,480000
180,0,10,45,125,482000
9,1,13,76,187,483000
300,1,61,405,1000,483000
1320,1,64,566,3000,497000
120,1,79,1000,12000,503000
60,0,10,403,952,507000
120,0,3,425,916,507000
300,0,7,656,2000,507000
120,1,166,895,7000,507000
120,1,27,55,838,514000
21,1,12,43,132,526000
48,1,18,82,128,526000
1440,1,22,175,906,526000
1440,1,22,175,907,526000
21,1,45,134,558,527000
120,1,11,220,2000,527000
3,1,3,25,57,529000
360,1,5,109,180,529000
420,1,5,112,184,529000
2,1,1,23,35,531000
60,1,97,898,3000,539000
120,1,43,391,597,539000
58,1,54,474,2000,545000
1,1,3,36,128,552000
60,1,30,250,336,555000
120,1,35,292,395,555000
2,1,1,11,31,562000
28,1,53,153,328,564000
7,1,13,43,35,570000
33,1,34,129,92,570000
43,1,32,145,103,570000
60,1,45,173,122,570000
120,1,63,257,174,570000
5760,1,194,273,2000,571000
60,1,33,391,1000,573000
120,1,101,52,107,573000
180,1,49,655,2000,573000
180,1,39,139,567,575000
1440,1,8000,4000,8000,579000
120,1,7,172,689,581000
120,1,74,379,1000,583000
180,1,82,400,1000,583000
1,1,9,10,62,607000
120,1,129,192,716,609000
38,1,20,370,648,620000
180,1,24,315,2000,620000
2880,1,665,9000,18000,620000
120,1,23,541,1000,621000
420,1,8,517,1000,621000
360,1,58,432,2000,635000
120,0,100,288,3000,637000
840,0,499,2000,20000,638000
900,0,515,2000,21000,638000
900,0,516,2000,21000,638000
480,1,4,88,226,638000
540,1,1,49,152,638000
1080,1,96,137,632,638000
19,1,74,10,13,639000
720,1,46,137,2000,639000
47,1,23,566,2000,642000
60,1,14,474,1000,642000
180,1,24,801,1000,642000
240,1,228,3000,8000,642000
300,1,255,3000,9000,642000
360,1,263,3000,10000,642000
4320,1,112,2000,9000,642000
34,1,26,4,26,643000
15,1,0,0,0,646000
37,1,87,543,2000,649000
39,1,90,578,2000,649000
47,1,105,683,2000,649000
60,1,44,377,1000,649000
60,1,189,503,1000,651000
60,1,226,614,1000,651000
120,1,288,847,2000,651000
60,1,45,988,4000,652000
120,1,97,503,3000,652000
16,1,56,38,688,656000
120,1,15,1000,300,657000
300,1,15,504,4000,660000
60,0,169,2000,5000,661000
120,0,141,3000,6000,661000
180,0,150,4000,7000,661000
5760,1,50,161,3000,677000
4320,1,151,955,10000,686000
3,1,49,228,429,692000
5,1,91,367,702,692000
21,1,345,1000,3000,692000
60,1,843,3000,7000,692000
29,1,11,454,1000,707000
120,1,9,177,551,715000
33,1,26,123,768,720000
240,1,185,2000,3000,722000
21,1,51,147,407,726000
120,1,94,328,1000,726000
58,1,373,2000,8000,727000
16,1,42,174,527,732000
46,1,53,1000,2000,732000
55,1,37,304,846,732000
56,1,37,312,858,732000
60,1,67,1000,2000,732000
180,1,89,2000,3000,732000
32,1,6,32,69,734000
42,1,7,34,79,734000
120,1,10,40,102,734000
240,1,8,87,67,734000
240,0,739,6000,21000,745000
2880,1,3,146,483,751000
4320,1,3,149,489,751000
2,1,3,9,129,754000
840,1,16,30,98,766000
240,1,12,54,494,775000
22,1,4,471,115,779000
1440,1,304,2000,14000,780000
7200,1,107,150,1000,782000
8640,1,124,107,1000,782000
120,1,52,240,2000,783000
240,1,133,328,5000,783000
15,1,356,2000,17000,785000
900,1,26,3000,11000,788000
7200,1,34,464,2000,788000
8640,1,34,465,2000,788000
14,1,14,17,110,792000
14,1,223,312,2000,798000
2880,1,40,58,335,800000
13,1,2,102,198,805000
420,1,13,21,342,808000
17,1,28,91,880,810000
2,1,8,21,118,817000
30,1,237,2000,5000,817000
40,1,33,186,2000,817000
1440,1,182,815,13000,843000
60,1,3,40,53,850000
120,1,3,44,57,850000
2,1,1,17,87,852000
6,1,7,48,262,852000
660,1,36,325,2000,852000
780,1,9,622,4000,852000
4,1,84,288,639,872000
13,1,73,634,1000,872000
15,1,120,439,1000,872000
36,1,359,1000,3000,872000
60,1,455,2000,1000,872000
60,1,188,2000,4000,872000
120,1,525,2000,2000,872000
